"Id","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"55","8461","Armor Ambush","2600","1981","Action","Mattel Interactive","0.15","0.01","0.00","0.00","0.17"
"56","9497","RealSports Volleyball","2600","1981","Sports","Atari","0.12","0.01","0.00","0.00","0.13"
"57","90","Pac-Man","2600","1982","Puzzle","Atari","7.28","0.45","0.00","0.08","7.81"
"58","1117","Dig Dug","2600","1982","Puzzle","Atari","1.52","0.10","0.00","0.02","1.64"
"59","1165","Mario Bros.","2600","1982","Platform","Atari","1.48","0.09","0.00","0.02","1.59"
"60","1707","Pole Position","2600","1982","Racing","Atari","1.10","0.07","0.00","0.01","1.18"
"61","1819","Moon Patrol","2600","1982","Shooter","Atari","1.05","0.06","0.00","0.01","1.12"
"62","1853","Jungle Hunt","2600","1982","Platform","Atari","1.03","0.06","0.00","0.01","1.10"
"63","1907","Joust","2600","1982","Platform","Atari","1.01","0.06","0.00","0.01","1.08"
"64","2408","Enduro","2600","1982","Misc","Quelle","0.81","0.05","0.00","0.01","0.87"
"65","2631","Yars' Revenge","2600","1982","Shooter","Atari","0.73","0.04","0.00","0.01","0.78"
"66","2662","Galaxian","2600","1982","Shooter","Atari","0.72","0.05","0.00","0.01","0.77"
"67","2845","Kangaroo","2600","1982","Platform","Atari","0.67","0.04","0.00","0.01","0.72"
"68","3081","Keystone Kapers","2600","1982","Action","Activision","0.62","0.04","0.00","0.01","0.66"
"69","3217","X-Man","2600","1982","Action","Universal Gamex","0.58","0.04","0.00","0.01","0.63"
"70","3250","Battlezone","2600","1982","Shooter","Atari","0.58","0.03","0.00","0.01","0.62"
"71","3268","Halloween","2600","1982","Action","Wizard Video Games","0.58","0.03","0.00","0.01","0.62"
"72","3449","Q*bert","2600","1982","Puzzle","Parker Bros.","0.55","0.03","0.00","0.01","0.58"
"73","3645","The Activision Decathlon","2600","1982","Sports","Activision","0.52","0.03","0.00","0.01","0.55"
"74","3718","Action Force","2600","1982","Action","CPG Products","0.50","0.03","0.00","0.01","0.54"
"75","3750","Popeye","2600","1982","Platform","Parker Bros.","0.50","0.03","0.00","0.01","0.54"
"76","3968","Chopper Command","2600","1982","Shooter","Activision","0.47","0.03","0.00","0.01","0.50"
"77","4015","RealSports Tennis","2600","1982","Sports","Atari","0.46","0.03","0.00","0.01","0.50"
"78","4018","Gauntlet","2600","1982","Action","Answer Software","0.46","0.03","0.00","0.01","0.50"
"79","4803","Congo Bongo","2600","1982","Action","Sega","0.37","0.02","0.00","0.00","0.40"
"80","4896","Bump 'n' Jump","2600","1982","Racing","Mattel Interactive","0.37","0.02","0.00","0.00","0.39"
"81","5066","Gravitar","2600","1982","Action","Atari","0.35","0.02","0.00","0.00","0.38"
"82","5383","Alien's Return","2600","1982","Action","ITT Family Games","0.32","0.02","0.00","0.00","0.34"
"83","5397","Bank Heist","2600","1982","Action","20th Century Fox Video Games","0.32","0.02","0.00","0.00","0.34"
"84","5660","Frankenstein's Monster","2600","1982","Action","Data Age","0.30","0.02","0.00","0.00","0.32"
"85","5775","Mountain King","2600","1982","Action","CBS Electronics","0.29","0.02","0.00","0.00","0.31"
"86","6147","Polaris","2600","1982","Action","Tigervision","0.26","0.02","0.00","0.00","0.28"
"87","6267","Mr. Do!","2600","1982","Action","Coleco","0.26","0.02","0.00","0.00","0.27"
"88","6730","Porky's","2600","1982","Action","20th Century Fox Video Games","0.23","0.01","0.00","0.00","0.25"
"89","7151","Assault","2600","1982","Action","Bomb","0.21","0.01","0.00","0.00","0.22"
"90","8460","Death Trap","2600","1982","Action","Avalon Interactive","0.15","0.01","0.00","0.00","0.17"
"91","8760","Pressure Cooker","2600","1982","Action","Activision","0.14","0.01","0.00","0.00","0.15"
"92","9108","Krull","2600","1982","Action","Atari","0.13","0.01","0.00","0.00","0.14"
"93","422","Baseball","NES","1983","Sports","Nintendo","0.73","0.10","2.35","0.02","3.20"
"94","702","Mario Bros.","NES","1983","Platform","Nintendo","0.51","0.12","1.63","0.02","2.28"
"95","765","Mahjong","NES","1983","Misc","Nintendo","0.01","0.00","2.13","0.00","2.14"
"96","1510","Pitfall II: Lost Caverns","2600","1983","Platform","Activision","1.22","0.07","0.00","0.02","1.31"
"97","1811","Donkey Kong","NES","1983","Platform","Nintendo","0.23","0.05","0.84","0.01","1.13"
"98","1841","Donkey Kong Jr.","NES","1983","Platform","Nintendo","0.33","0.07","0.70","0.01","1.11"
"99","1863","Popeye","NES","1983","Platform","Nintendo","0.51","0.12","0.45","0.02","1.10"
"100","2654","Jr. Pac-Man","2600","1983","Puzzle","Atari","0.72","0.05","0.00","0.01","0.78"
